date,bytes_sent,bytes_recv,packets_sent,packets_recv
2026-02-05 10:29:34,44690,44690,520,520
2026-02-05 10:33:52,46466,46466,544,544
2026-02-05 10:33:54,47273,47273,552,552
2026-02-05 10:35:59,56957,56957,648,648
2026-02-05 10:36:00,56957,56957,648,648
2026-02-05 10:36:02,56957,56957,648,648
2026-02-05 11:00:03,127426,127426,1354,1354
2026-02-05 12:00:02,140338,140338,1482,1482
2026-02-05 13:00:02,146495,146495,1542,1542
2026-02-05 14:00:02,146495,146495,1542,1542
2026-02-05 15:00:03,146495,146495,1542,1542
2026-02-05 16:00:02,146495,146495,1542,1542
2026-02-05 17:00:02,146495,146495,1542,1542
2026-02-05 18:00:02,146495,146495,1542,1542
2026-02-05 19:00:03,146495,146495,1542,1542
2026-02-05 20:00:02,147603,147603,1554,1554
2026-02-05 21:00:02,151133,151133,1578,1578
2026-02-05 22:00:02,151133,151133,1578,1578
2026-02-05 23:00:03,151133,151133,1578,1578
2026-02-06 00:00:02,167156,167156,1740,1740
2026-02-06 01:00:02,219611,219611,2260,2260
2026-02-06 02:00:02,271259,271259,2772,2772
2026-02-06 03:00:03,280943,280943,2868,2868
2026-02-06 04:00:02,280943,280943,2868,2868
2026-02-06 05:00:02,280943,280943,2868,2868
2026-02-06 06:00:02,280943,280943,2868,2868
2026-02-06 07:00:02,280943,280943,2868,2868
2026-02-06 08:00:02,310503,310503,3160,3160
2026-02-06 09:00:02,379905,379905,3848,3848
2026-02-06 10:00:02,454637,454637,4588,4588
2026-02-06 11:00:02,507092,507092,5108,5108
2026-02-06 12:00:03,507092,507092,5108,5108
2026-02-06 13:00:02,507092,507092,5108,5108
2026-02-06 14:00:02,507092,507092,5108,5108
2026-02-06 15:00:02,507600,507600,5112,5112
2026-02-06 16:00:02,527142,527142,5298,5298
2026-02-06 17:00:02,527142,527142,5298,5298
2026-02-06 18:00:02,527142,527142,5298,5298
2026-02-06 19:00:02,527142,527142,5298,5298
2026-02-06 20:00:02,528262,528262,5310,5310
2026-02-06 21:00:02,528262,528262,5310,5310
2026-02-06 22:00:02,528262,528262,5310,5310
2026-02-06 23:00:02,528262,528262,5310,5310
2026-02-07 00:00:03,556390,556390,5592,5592
2026-02-07 01:00:02,556390,556390,5592,5592
2026-02-07 02:00:02,556898,556898,5596,5596
2026-02-07 03:00:02,556898,556898,5596,5596
2026-02-07 04:00:02,556898,556898,5596,5596
2026-02-07 05:00:03,556898,556898,5596,5596
2026-02-07 06:00:02,556898,556898,5596,5596
2026-02-07 07:00:02,559493,559493,5614,5614
2026-02-07 08:00:02,559493,559493,5614,5614
2026-02-07 09:00:02,559493,559493,5614,5614
2026-02-07 10:00:02,559493,559493,5614,5614
2026-02-07 11:00:02,602322,602322,6042,6042
2026-02-07 12:00:02,645511,645511,6448,6448
2026-02-07 13:00:02,645511,645511,6448,6448
2026-02-07 14:00:02,645511,645511,6448,6448
2026-02-07 15:00:02,645511,645511,6448,6448
2026-02-07 16:00:02,646019,646019,6452,6452
2026-02-07 17:00:02,646019,646019,6452,6452
2026-02-07 18:00:02,646019,646019,6452,6452
2026-02-07 19:00:03,646019,646019,6452,6452
2026-02-07 20:00:02,646445,646445,6456,6456
2026-02-07 21:00:02,697712,697712,6964,6964
2026-02-07 22:00:02,698138,698138,6968,6968
2026-02-07 23:00:02,698564,698564,6972,6972
2026-02-08 00:00:02,700783,700783,6998,6998
2026-02-08 01:00:02,710893,710893,7098,7098
2026-02-08 02:00:02,711319,711319,7102,7102
2026-02-08 03:00:02,711745,711745,7106,7106
2026-02-08 04:00:02,712171,712171,7110,7110
2026-02-08 05:00:02,713105,713105,7118,7118
2026-02-08 06:00:02,716126,716126,7140,7140
2026-02-08 07:00:02,716552,716552,7144,7144
2026-02-08 08:00:02,716978,716978,7148,7148
2026-02-08 09:00:02,717404,717404,7152,7152
2026-02-08 10:00:02,717830,717830,7156,7156
2026-02-08 11:00:02,718256,718256,7160,7160
2026-02-08 12:00:02,718682,718682,7164,7164
2026-02-08 13:00:02,719108,719108,7168,7168
2026-02-08 14:00:02,719534,719534,7172,7172
2026-02-08 15:00:02,720767,720767,7184,7184
2026-02-08 16:00:02,742982,742982,7404,7404
2026-02-08 17:00:02,798284,798284,7952,7952
2026-02-08 18:00:03,847937,847937,8444,8444
2026-02-08 19:00:02,896783,896783,8928,8928
2026-02-08 20:00:02,944822,944822,9404,9404
2026-02-08 21:00:02,945248,945248,9408,9408
2026-02-08 22:00:02,945674,945674,9412,9412
2026-02-08 23:00:02,946608,946608,9420,9420
2026-02-09 00:00:02,948531,948531,9442,9442
2026-02-09 01:00:02,948957,948957,9446,9446
2026-02-09 02:00:02,949383,949383,9450,9450
2026-02-09 03:00:03,952228,952228,9472,9472
2026-02-09 04:00:02,952654,952654,9476,9476
2026-02-09 05:00:02,953080,953080,9480,9480
2026-02-09 06:00:02,953506,953506,9484,9484
2026-02-09 07:00:02,954626,954626,9496,9496
2026-02-09 08:00:02,954626,954626,9496,9496
2026-02-09 09:00:02,955134,955134,9500,9500
2026-02-09 10:00:02,955134,955134,9500,9500
2026-02-09 11:00:02,955134,955134,9500,9500
2026-02-09 12:00:03,955134,955134,9500,9500
2026-02-09 13:00:02,955134,955134,9500,9500
2026-02-09 14:00:02,955134,955134,9500,9500
2026-02-09 15:00:02,955134,955134,9500,9500
2026-02-09 16:00:02,955642,955642,9504,9504
2026-02-09 17:00:02,955642,955642,9504,9504
2026-02-09 18:00:02,955642,955642,9504,9504
2026-02-09 19:00:02,955642,955642,9504,9504
2026-02-09 20:00:02,955642,955642,9504,9504
2026-02-09 21:00:02,955642,955642,9504,9504
2026-02-09 22:00:02,955642,955642,9504,9504
2026-02-09 23:00:02,955642,955642,9504,9504
2026-02-10 00:00:02,957139,957139,9522,9522
2026-02-10 01:00:02,957139,957139,9522,9522
2026-02-10 02:00:02,957139,957139,9522,9522
2026-02-10 03:00:02,961400,961400,9552,9552
2026-02-10 04:00:02,961400,961400,9552,9552
2026-02-10 05:00:02,961400,961400,9552,9552
2026-02-10 06:00:03,961400,961400,9552,9552
2026-02-10 07:00:02,961400,961400,9552,9552
2026-02-10 08:00:02,962520,962520,9564,9564
2026-02-10 09:00:02,963028,963028,9568,9568
2026-02-10 10:00:02,963028,963028,9568,9568
2026-02-10 11:00:03,963028,963028,9568,9568
2026-02-10 12:00:02,963028,963028,9568,9568
2026-02-10 13:00:02,963536,963536,9572,9572
2026-02-10 14:00:02,963536,963536,9572,9572
2026-02-10 15:00:02,963536,963536,9572,9572
2026-02-10 16:00:02,963536,963536,9572,9572
2026-02-10 17:00:02,963536,963536,9572,9572
2026-02-10 18:00:02,963536,963536,9572,9572
2026-02-10 19:00:02,963536,963536,9572,9572
2026-02-10 20:00:03,963536,963536,9572,9572
2026-02-10 21:00:02,963536,963536,9572,9572
2026-02-10 22:00:02,963536,963536,9572,9572
2026-02-10 23:00:02,963536,963536,9572,9572
2026-02-11 00:00:03,965033,965033,9590,9590
2026-02-11 01:00:02,965033,965033,9590,9590
2026-02-11 02:00:02,965033,965033,9590,9590
2026-02-11 03:00:02,965033,965033,9590,9590
2026-02-11 04:00:02,965033,965033,9590,9590
2026-02-11 05:00:02,965033,965033,9590,9590
2026-02-11 06:00:02,965541,965541,9594,9594
2026-02-11 07:00:02,965541,965541,9594,9594
2026-02-11 08:00:02,973912,973912,9678,9678
2026-02-11 09:00:02,977244,977244,9702,9702
2026-02-11 10:00:02,1028085,1028085,10206,10206
2026-02-11 11:00:02,1028085,1028085,10206,10206
2026-02-11 12:00:02,1028085,1028085,10206,10206
2026-02-11 13:00:02,1028085,1028085,10206,10206
2026-02-11 14:00:03,1028085,1028085,10206,10206
2026-02-11 15:00:02,1028085,1028085,10206,10206
2026-02-11 16:00:02,1028085,1028085,10206,10206
2026-02-11 17:00:02,1050681,1050681,10430,10430
2026-02-11 18:00:03,1100416,1100416,10922,10922
2026-02-11 19:00:02,1154485,1154485,11458,11458
2026-02-11 20:00:02,1176274,1176274,11674,11674
2026-02-11 21:00:02,1176274,1176274,11674,11674
2026-02-11 22:00:03,1189993,1189993,11810,11810
2026-02-11 23:00:02,1243255,1243255,12338,12338
2026-02-12 00:00:02,1301242,1301242,12916,12916
2026-02-12 01:00:02,1301242,1301242,12916,12916
2026-02-12 02:00:03,1301242,1301242,12916,12916
2026-02-12 03:00:02,1301242,1301242,12916,12916
2026-02-12 04:00:02,1301242,1301242,12916,12916
2026-02-12 05:00:02,1301750,1301750,12920,12920
2026-02-12 06:00:02,1301750,1301750,12920,12920
2026-02-12 07:00:03,1301750,1301750,12920,12920
2026-02-12 08:00:02,1301750,1301750,12920,12920
2026-02-12 09:00:02,1302870,1302870,12932,12932
2026-02-12 10:00:02,1306202,1306202,12956,12956
2026-02-12 11:00:03,1306202,1306202,12956,12956
2026-02-12 12:00:02,1306202,1306202,12956,12956
2026-02-12 13:00:02,1306202,1306202,12956,12956
2026-02-12 14:00:02,1306202,1306202,12956,12956
2026-02-12 15:00:02,1306202,1306202,12956,12956
2026-02-12 16:00:02,1306202,1306202,12956,12956
2026-02-12 17:00:02,1306202,1306202,12956,12956
2026-02-12 18:00:02,1361586,1361586,13504,13504
2026-02-12 19:00:02,1361586,1361586,13504,13504
2026-02-12 20:00:03,1361586,1361586,13504,13504
2026-02-12 21:00:02,1361586,1361586,13504,13504
2026-02-12 22:00:02,1383375,1383375,13720,13720
2026-02-12 23:00:02,1403550,1403550,13920,13920
2026-02-13 00:00:03,1405047,1405047,13938,13938
2026-02-13 01:00:02,1405047,1405047,13938,13938
2026-02-13 02:00:02,1405047,1405047,13938,13938
2026-02-13 03:00:02,1405047,1405047,13938,13938
2026-02-13 04:00:03,1405047,1405047,13938,13938
2026-02-13 05:00:02,1408571,1408571,13962,13962
2026-02-13 06:00:02,1408571,1408571,13962,13962
2026-02-13 07:00:02,1408571,1408571,13962,13962
2026-02-13 08:00:02,1408571,1408571,13962,13962
2026-02-13 09:00:03,1408571,1408571,13962,13962
2026-02-13 10:00:02,1409691,1409691,13974,13974
2026-02-13 11:00:02,1410199,1410199,13978,13978
2026-02-13 12:00:02,1410199,1410199,13978,13978
2026-02-13 13:00:02,1410199,1410199,13978,13978
2026-02-13 14:00:02,1410707,1410707,13982,13982
2026-02-13 15:00:02,1410707,1410707,13982,13982
2026-02-13 16:00:02,1410707,1410707,13982,13982
2026-02-13 17:00:02,1410707,1410707,13982,13982
2026-02-13 18:00:02,1426847,1426847,14142,14142
2026-02-13 19:00:02,1481723,1481723,14686,14686
2026-02-13 20:00:02,1514003,1514003,15006,15006
2026-02-13 21:00:02,1552739,1552739,15390,15390
2026-02-13 22:00:02,1618106,1618106,16038,16038
